timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
8.977,kick_low,0.2036,1.9377,1.0706,64.73,106.6,0.1126,0.2036
9.0103,kick_low,0.3023,1.2677,0.785,62.94,89.87,0.3023,0.0674
9.0437,kick_low,0.5412,1.5889,1.065,64.13,90.33,0.5412,0.379
9.0771,kick_low,0.7246,1.4957,1.1101,70.31,86.85,0.3252,0.7246
9.1105,kick_low,0.6342,1.1098,0.872,67.89,60.36,0.3631,0.6342
9.1438,kick_low,0.563,5.8044,3.1837,65.73,67.74,0.12,0.563
9.1772,kick_low,0.4375,5.7802,3.1089,66.79,69.02,0.2728,0.4375
9.2106,backward_movement,1.088,0.5353,0.8117,60.26,68.72,0.148,1.088
9.2439,kick_low,0.7698,1.5509,1.1604,55.69,62.12,0.1039,0.7698
9.2773,forward_movement,0.519,0.2729,0.396,61.22,65.27,0.519,0.3706
9.3107,forward_movement,0.2834,0.2534,0.2684,50.33,104.76,0.2025,0.2834
9.3441,guard_position,0.5427,0.6558,0.5993,64.88,87.7,0.5427,0.1597
9.3774,guard_position,1.2836,0.4475,0.8655,49.34,59.33,0.6194,1.2836
9.4108,kick_low,1.393,1.439,1.416,49.77,85.38,0.8622,1.393
9.4442,kick_low,1.3282,1.1789,1.2535,75.65,75.7,0.7153,1.3282
9.4776,kick_low,1.226,2.8319,2.0289,29.72,82.07,1.226,0.3775
9.5109,backward_movement,0.4927,0.4373,0.465,28.83,65.8,0.452,0.4927
9.5443,kick_low,0.8609,2.7962,1.8286,41.63,53.01,0.7682,0.8609
9.5777,kick_low,0.2898,1.072,0.6809,40.1,50.45,0.2732,0.2898
9.611,kick_low,0.302,1.4482,0.8751,40.24,44.59,0.1906,0.302
9.6444,guard_position,0.3291,0.8056,0.5673,44.3,46.7,0.1219,0.3291
9.6778,kick_low,1.9755,0.9868,1.4811,58.11,81.6,0.9056,1.9755
9.7112,forward_movement,0.3757,0.4947,0.4352,63.25,71.7,0.2447,0.3757
9.7445,kick_low,0.3875,1.087,0.7373,33.22,68.5,0.3875,0.2922
9.7779,kick_low,0.9394,1.3919,1.1657,30.54,60.73,0.1635,0.9394
9.8113,forward_movement,0.3601,0.344,0.352,28.59,59.45,0.3601,0.2145
9.8446,forward_movement,1.0694,0.7893,0.9293,54.56,60.27,1.0694,0.4053
9.878,kick_low,1.6089,1.4675,1.5382,30.27,59.05,1.6089,0.1064
9.9114,kick_low,0.5418,1.3003,0.921,36.94,77.56,0.2275,0.5418
9.9448,forward_movement,0.2394,0.4457,0.3426,36.17,71.19,0.2394,0.1163
9.9781,backward_movement,0.481,0.6109,0.5459,40.06,75.18,0.1146,0.481
10.0115,guard_position,0.648,0.7255,0.6868,41.07,71.75,0.648,0.5662
10.0449,forward_movement,0.2803,0.7049,0.4926,33.51,67.37,0.1398,0.2803
10.0782,guard_position,0.4735,0.7937,0.6336,31.91,60.24,0.4735,0.2393
10.1116,kick_low,1.0649,1.1908,1.1278,29.02,70.79,0.973,1.0649
10.145,kick_low,0.7288,2.805,1.7669,45.04,71.99,0.7288,0.2273
10.1784,kick_low,0.401,2.2261,1.3135,25.88,76.98,0.401,0.333
10.2117,kick_low,1.4584,1.4436,1.451,55.66,81.18,1.4584,0.5154
10.2451,kick_low,1.34,1.5003,1.4202,31.51,57.87,1.34,0.6832
10.2785,guard_position,1.1938,0.6737,0.9338,1.24,59.36,1.1938,0.8891
10.3118,kick_low,0.2846,0.9028,0.5937,9.86,63.76,0.1484,0.2846
10.3452,backward_movement,0.647,0.573,0.61,21.22,59.87,0.0064,0.647
10.3786,kick_low,0.3171,2.8119,1.5645,19.3,58.56,0.3171,0.245
10.412,kick_low,0.8092,5.3997,3.1045,30.38,83.58,0.3085,0.8092
10.4453,kick_low,0.1558,5.6554,2.9056,41.73,77.72,0.0589,0.1558
10.4787,backward_movement,0.5008,0.511,0.5059,50.46,72.13,0.5008,0.2159
10.5121,kick_low,0.2794,3.6091,1.9443,48.21,66.02,0.171,0.2794
10.5454,kick_low,0.4503,2.7056,1.578,38.75,73.82,0.4503,0.2366
10.5788,kick_low,0.4425,1.4771,0.9598,47.28,71.97,0.4425,0.187
10.6122,forward_movement,0.2087,0.3717,0.2902,44.74,57.38,0.2087,0.2038
10.6456,kick_low,0.6626,2.2008,1.4317,46.12,72.22,0.2232,0.6626
