timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
6.2405,forward_movement,0.6006,0.168,0.3843,44.39,85.64,0.0354,0.6006
6.2739,guard_position,1.4237,0.1194,0.7715,46.37,60.27,0.225,1.4237
6.3072,guard_position,1.2907,0.1411,0.7159,45.14,71.79,0.0996,1.2907
6.3406,guard_position,1.9136,0.18,1.0468,43.31,88.72,0.069,1.9136
6.374,forward_movement,0.1574,0.1149,0.1362,44.42,82.85,0.1358,0.1574
6.4074,guard_position,1.0388,0.0819,0.5604,43.61,67.38,0.2517,1.0388
6.4407,forward_movement,0.2016,0.1222,0.1619,42.76,63.43,0.0416,0.2016
6.4741,backward_movement,0.3249,0.0901,0.2075,44.97,30.04,0.0397,0.3249
6.5075,kick_low,1.0386,3.8699,2.4543,44.4,30.95,0.325,1.0386
6.5408,kick_low,1.4915,2.5284,2.01,42.48,1.22,0.2765,1.4915
6.5742,guard_position,1.1623,0.8122,0.9872,36.23,68.32,0.5469,1.1623
6.6076,kick_low,1.5354,3.5003,2.5178,35.75,43.33,0.2551,1.5354
6.641,kick_low,1.6387,2.2955,1.9671,34.55,71.06,0.208,1.6387
6.6743,backward_movement,0.9136,0.1118,0.5127,33.06,75.5,0.1273,0.9136
6.7077,backward_movement,0.4312,0.237,0.3341,34.94,80.95,0.4312,0.363
6.7411,backward_movement,0.4577,0.2075,0.3326,33.27,92.91,0.1176,0.4577
6.7744,kick_low,0.3576,5.2967,2.8271,28.2,104.94,0.3576,0.1587
6.8078,kick_low,0.6092,5.6394,3.1243,25.37,100.81,0.1853,0.6092
6.8412,backward_movement,0.341,0.2622,0.3016,29.44,100.29,0.0971,0.341
6.8746,guard_position,1.2694,0.2062,0.7378,26.48,64.74,0.1247,1.2694
6.9079,forward_movement,0.6155,0.1695,0.3925,26.62,61.74,0.065,0.6155
6.9413,forward_movement,0.8804,0.0975,0.4889,32.74,74.36,0.2334,0.8804
6.9747,guard_position,1.8517,0.1165,0.9841,39.8,88.59,0.3627,1.8517
7.008,guard_position,1.0653,0.0667,0.566,40.05,78.6,0.2689,1.0653
7.0414,kick_low,0.8754,2.0392,1.4573,44.24,87.22,0.2506,0.8754
7.0748,kick_low,1.4311,1.9976,1.7144,43.65,80.83,0.2341,1.4311
7.1082,punch_right,1.9014,0.3939,1.1476,43.23,105.98,0.1484,1.9014
7.1415,guard_position,0.8304,0.1988,0.5146,42.59,98.5,0.0992,0.8304
7.1749,guard_position,0.808,0.0737,0.4409,42.43,108.27,0.0897,0.808
7.2083,guard_position,0.8834,0.1741,0.5287,42.6,123.42,0.0343,0.8834
7.2416,forward_movement,0.4324,0.1402,0.2863,39.47,116.53,0.1684,0.4324
7.275,forward_movement,0.5414,0.3143,0.4279,39.59,118.35,0.1026,0.5414
7.3084,backward_movement,0.4026,0.3548,0.3787,38.12,119.7,0.0926,0.4026
7.3418,forward_movement,0.2311,0.3407,0.2859,37.72,110.77,0.0986,0.2311
7.3751,guard_position,0.6068,0.2528,0.4298,37.74,94.99,0.2358,0.6068
7.4085,forward_movement,0.3964,0.2083,0.3024,36.16,82.41,0.1309,0.3964
7.4419,backward_movement,0.7794,0.0934,0.4364,39.61,112.31,0.1343,0.7794
7.4753,backward_movement,0.6841,0.3096,0.4969,38.46,83.19,0.0511,0.6841
7.5086,forward_movement,0.4339,0.1408,0.2873,35.64,81.24,0.1346,0.4339
7.542,guard_position,0.1317,0.3117,0.2217,36.61,83.83,0.1317,0.1297
7.5754,guard_position,2.1135,0.2652,1.1893,33.3,30.06,0.243,2.1135
7.6087,guard_position,1.5412,0.1417,0.8414,38.09,80.73,0.0929,1.5412
7.6421,backward_movement,0.5501,0.0879,0.319,40.94,67.35,0.1411,0.5501
7.6755,kick_low,0.7271,7.5151,4.1211,41.15,54.08,0.1026,0.7271
